Single draw, 2 cards for hands up to [:20]

         29894786 function calls in 39.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.001    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
       60    0.000    0.000    0.001    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/_asarray.py:88(asanyarray)
      100    0.001    0.000    0.001    0.000 /home/m20ussfref/github/jagermeister/273/src/card.py:20(remove)
       60    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       20    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/utility.py:28(is_straight)
      120    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/main.py:30(cards_value_minimal)
       20    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/utility.py:36(unique_value_count)
       40    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/_methods.py:50(_count_reduce_items)
      200    0.000    0.000    0.000    0.000 /home/m20ussfref/anaconda3/lib/python3.7/types.py:164(__get__)
      300    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      180    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/card.py:32(to_index)
       60    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/card.py:9(bit_mask)
      200    0.000    0.000    0.000    0.000 /home/m20ussfref/anaconda3/lib/python3.7/enum.py:628(value)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       20    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       40    0.000    0.000    0.000    0.000 {built-in method time.time}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/utility.py:37(<lambda>)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/card.py:28(value)
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/src/utility.py:29(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2040(_sum_dispatcher)
       20    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3149(_mean_dispatcher)
      100    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/main.py:88(<lambda>)
       20    0.000    0.000    0.000    0.000 /home/m20ussfref/github/jagermeister/273/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:3260(_std_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
