         12732740 function calls in 14.479 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\enum.py:628(value)
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:32(to_index)
       50    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\src\card.py:9(bit_mask)
       10    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {built-in method time.time}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       50    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       30    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:2040(_sum_dispatcher)
       20    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:3149(_mean_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}

Inline Card.value

         7940752 function calls in 10.580 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.348    0.035   10.580    1.058 main.py:114(simulate_deuce_to_seven)
   100000    0.741    0.000    9.107    0.000 main.py:71(rank_hands)
  2953200    6.577    0.000    6.577    0.000 main.py:50(cards_from_hand)
   200000    0.617    0.000    3.381    0.000 main.py:67(unique_value_count)
    73055    0.222    0.000    1.458    0.000 main.py:60(is_flush)
    73055    0.315    0.000    1.445    0.000 main.py:63(is_straight)
   100000    0.698    0.000    1.082    0.000 C:\github\jagermeister\273\src\deck.py:10(cardPeek)
   100000    0.090    0.000    0.249    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\random.py:174(randrange)
   365275    0.142    0.000    0.201    0.000 main.py:61(<lambda>)
   100000    0.107    0.000    0.158    0.000 C:\Users\Jagermeister\AppData\Local\Programs\Python\Python37-32\lib\random.py:224(_randbelow)
  1000000    0.127    0.000    0.127    0.000 main.py:68(<lambda>)
   219145    0.123    0.000    0.123    0.000 {built-in method builtins.sorted}
   200000    0.061    0.000    0.061    0.000 {built-in method builtins.bin}
   365275    0.059    0.000    0.059    0.000 C:\github\jagermeister\273\src\card.py:24(color)
   546110    0.057    0.000    0.057    0.000 {built-in method builtins.len}
   100000    0.056    0.000    0.056    0.000 {method 'rstrip' of 'str' objects}
   365225    0.051    0.000    0.051    0.000 main.py:87(<lambda>)
   365225    0.048    0.000    0.048    0.000 main.py:88(<lambda>)
   365275    0.047    0.000    0.047    0.000 main.py:64(<lambda>)
   100050    0.039    0.000    0.039    0.000 C:\github\jagermeister\273\src\card.py:16(add)
   148701    0.037    0.000    0.037    0.000 {method 'getrandbits' of '_random.Random' objects}
   100000    0.014    0.000    0.014    0.000 {method 'bit_length' of 'int' objects}
       20    0.002    0.000    0.002    0.000 {built-in method builtins.print}
       50    0.000    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(mean)
       20    0.000    0.000    0.001    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:3153(mean)
       20    0.000    0.000    0.001    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\_methods.py:134(_mean)
       50    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(sum)
       30    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:2045(sum)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       30    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
       20    0.000    0.000    0.000    0.000 C:\github\jagermeister\273\env\lib\site-packages\numpy\core\_asarray.py:88(asanyarray)
