,hands,7-4-3-2,8-4-3-2,9-4-3-2,T-4-3-2,J-4-3-2
191,J-T-4-3-2,49.4,48.24,49.68,53.0,53.84
192,J-T-5-3-2,51.36,49.88,49.88,50.04,51.08
193,J-T-5-4-2,49.84,52.64,52.72,49.2,49.76
194,J-T-5-4-3,51.52,50.04,51.2,49.36,48.8
195,J-T-6-3-2,51.64,50.68,50.4,50.4,49.0
196,J-T-6-4-2,50.96,51.0,51.8,48.56,49.28
197,J-T-6-4-3,50.04,52.44,51.56,50.84,48.16
198,J-T-6-5-2,53.2,53.84,53.16,51.8,50.12
199,J-T-6-5-3,54.16,53.04,52.64,50.4,52.16
200,J-T-6-5-4,53.16,52.72,54.04,50.68,51.56
201,J-T-7-3-2,47.8,49.68,49.76,47.6,49.08
202,J-T-7-4-2,48.4,51.72,51.6,49.44,48.12
203,J-T-7-4-3,47.16,52.32,51.64,49.92,50.52
204,J-T-7-5-2,51.48,55.04,54.32,52.64,51.36
205,J-T-7-5-3,52.72,53.4,52.36,52.32,51.04
206,J-T-7-5-4,52.08,52.92,51.96,47.96,51.16
207,J-T-7-6-2,51.48,53.84,52.96,51.0,52.8
208,J-T-7-6-3,50.56,52.64,54.88,51.32,52.36
209,J-T-7-6-4,51.48,53.24,53.72,51.44,51.84
210,J-T-7-6-5,55.24,55.76,55.8,53.72,53.4
211,J-T-8-3-2,52.4,48.76,53.6,50.32,49.6
212,J-T-8-4-2,51.24,48.88,51.52,50.2,50.4
213,J-T-8-4-3,51.4,50.28,50.88,48.88,49.0
214,J-T-8-5-2,52.68,50.96,53.76,50.84,51.44
215,J-T-8-5-3,54.52,51.2,52.52,51.08,51.88
216,J-T-8-5-4,56.56,50.64,52.4,51.2,52.6
217,J-T-8-6-2,53.16,51.8,52.56,49.96,51.96
218,J-T-8-6-3,52.68,51.76,52.84,51.32,50.12
219,J-T-8-6-4,55.08,51.2,54.52,50.12,48.24
220,J-T-8-6-5,56.8,54.44,57.92,55.56,53.24
221,J-T-8-7-2,49.6,51.2,53.4,50.88,50.68
222,J-T-8-7-3,52.04,51.24,53.12,52.52,51.52
223,J-T-8-7-4,49.88,47.8,54.4,51.72,50.68
224,J-T-8-7-5,53.4,55.32,55.48,53.84,52.64
225,J-T-8-7-6,53.68,54.44,55.28,53.12,53.48
226,J-T-9-3-2,49.88,51.72,49.88,49.16,50.76
227,J-T-9-4-2,51.4,50.0,49.24,48.32,47.84
228,J-T-9-4-3,50.48,49.36,49.88,47.64,48.56
229,J-T-9-5-2,53.48,54.28,50.84,51.08,51.4
230,J-T-9-5-3,52.92,52.4,52.52,50.16,50.68
231,J-T-9-5-4,53.32,55.88,52.88,51.52,50.64
232,J-T-9-6-2,54.52,54.48,51.04,48.8,51.72
233,J-T-9-6-3,52.4,53.4,52.36,50.52,49.48
234,J-T-9-6-4,53.64,51.12,49.2,51.12,51.4
235,J-T-9-6-5,56.08,55.4,54.64,52.32,53.72
236,J-T-9-7-2,52.12,53.48,49.88,50.52,52.24
237,J-T-9-7-3,52.12,54.76,51.84,50.96,51.28
238,J-T-9-7-4,50.48,53.32,52.12,50.36,52.28
239,J-T-9-7-5,52.08,54.36,53.32,53.24,53.92
240,J-T-9-7-6,52.76,55.96,52.72,54.12,52.2
241,J-T-9-8-2,53.72,51.76,51.72,50.6,52.16
242,J-T-9-8-3,52.2,51.72,52.32,52.04,51.4
243,J-T-9-8-4,52.76,50.12,52.16,51.6,49.8
244,J-T-9-8-5,57.16,53.56,56.96,55.88,53.44
245,J-T-9-8-6,56.92,51.92,52.24,53.2,52.92
